Project;Cores;;;;;;;;;;;;
Memo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Sample ID;Sample Name;Time;Sample Volume (ml);HCl Concentration (M);Salinity;Temperature (C);Slope;R^2;End Volume (ml);Total Alkalinity (uM);Standard Deviation;User;Note
0001S-1;CRM_217;10/10/2024  13:10:53;10.000000;0.0914537;>30;21.700000;18284.954691;0.999909;0.236900;2166.5;;Luka;
0002S-1;C_2_15_1h;10/10/2024  13:21:47;10.000000;0.0914537;>30;21.700000;18321.239075;0.999922;0.256519;2346.0;;Luka;
0003S-1;C_1_5_1h;10/10/2024  17:09:09;10.000000;0.0914537;>30;21.900000;19003.043920;0.999909;0.258072;2360.2;;Luka;
0004S-1;C_1_7_1h;10/10/2024  17:17:54;10.000000;0.0914537;>30;21.900000;18784.857471;0.999892;0.256795;2348.5;;Luka;
0005S-1;C_1_1_1h;10/10/2024  17:35:01;10.000000;0.0914537;>30;22.000000;18973.388099;0.999883;0.256525;2346.0;;Luka;
0006S-1;C_1_4 _1h;10/10/2024  17:42:51;10.000000;0.0914537;>30;22.000000;18980.719051;0.999904;0.255916;2340.4;;Luka;
0007S-1;C_1_8_1h;10/10/2024  17:51:08;10.000000;0.0914537;>30;21.900000;18958.524516;0.999914;0.256317;2344.1;;Luka;
0008S-1;C_2_8_1h;10/10/2024  18:03:43;10.000000;0.0914537;>30;21.900000;18975.528766;0.999935;0.255621;2337.8;;Luka;
0009S-1;C_2_11_1h;10/10/2024  18:13:49;10.000000;0.0914537;>30;21.900000;19073.183735;0.999884;0.256078;2341.9;;Luka;
0010S-1;C_2_14_1h;10/10/2024  18:25:01;10.000000;0.0914537;>30;21.900000;18952.945167;0.999913;0.256880;2349.3;;Luka;
0011S-1;C_1_12_1h;10/10/2024  18:34:18;10.000000;0.0914537;>30;21.900000;18927.759415;0.999872;0.258788;2366.7;;Luka;
0012S-1;C_2_18_1h;10/10/2024  18:42:33;10.000000;0.0914537;>30;22.000000;18883.495670;0.999914;0.256317;2344.1;;Luka;
0013S-1;C_2_10_1h;10/10/2024  18:50:01;10.000000;0.0914537;>30;22.000000;18873.781235;0.999903;0.256890;2349.4;;Luka;
